apertura,branch_id,brand,city,country,db_cost_center,db_match,display_name,estado,is_deleted,is_presale,key,m2,name,nueva,partner_id,partner_name,pendiente,punto_equilibrio,region_name,source,updated_at
,33,ACTION_EXPERIENCE,CALI,CO,,,Jumbo Chipichape,inactiva,1,1,CO:33,,JumboChipichape,False,36,EVO,False,,B/QUILLA - CALI - PEREIRA,,
2023-06-09,8,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 45, 'is_active': True, 'name': 'Action La 33'}",id,La 33,activa,0,0,CO:8,845.3,La33,False,9,EVO,False,1549.0,ANTIOQUIA NORTE,master_sedes,2026-08-27T03:26:55Z
2025-07-07,65,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 48, 'is_active': True, 'name': 'Action Las Palmas Bio 26'}",id,Las Palmas Bio 26,activa,0,0,CO:65,1247.0,LasPalmasBio26,False,46,EVO,False,705.0,ANTIOQUIA CENTRO,master_sedes,2026-08-27T03:26:55Z
2023-11-17,7,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 49, 'is_active': True, 'name': 'Action Laureles'}",id,Laureles,activa,0,0,CO:7,644.0,Laureles,False,8,EVO,False,981.0,ANTIOQUIA NORTE,master_sedes,2026-08-27T03:26:55Z
2024-05-24,17,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 52, 'is_active': True, 'name': 'Action Los Colores'}",id,Los Colores,activa,0,0,CO:17,579.0,LosColores,False,17,EVO,False,851.0,ANTIOQUIA NORTE,master_sedes,2026-08-27T03:26:55Z
2025-07-30,63,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 53, 'is_active': True, 'name': 'Action Los Molinos'}",id,Los Molinos,activa,0,0,CO:63,1030.55,LosMolinos,False,48,EVO,False,802.0,ANTIOQUIA NORTE,master_sedes,2026-08-27T03:26:55Z
2025-12-05,77,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 54, 'is_active': True, 'name': 'Action Mall Gran Via'}",id,Mall Gran Via,activa,0,0,CO:77,840.0,MallGranVia,False,53,EVO,False,622.0,ANTIOQUIA NORTE,master_sedes,2026-08-27T03:26:55Z
2026-02-06,105,ACTION_EXPERIENCE,AGUADAS,CO,"{'id': 55, 'is_active': True, 'name': 'Action Mall La Reserva'}",id,Mall La Reserva,activa,0,0,CO:105,290.0,MallLaReserva,False,75,EVO,False,300.0,ANTIOQUIA NORTE,master_sedes,2026-08-27T03:26:55Z
2026-06-22,107,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 56, 'is_active': True, 'name': 'Action Mall NQS'}",id,MALLPLAZA NQS,activa,0,0,CO:107,461.0,MallNQS,False,79,EVO,False,435.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2024-01-12,13,ACTION_EXPERIENCE,BELLO,CO,"{'id': 57, 'is_active': True, 'name': 'Action Niquia'}",id,Niquia,activa,0,0,CO:13,700.0,Niquia,False,16,EVO,False,1063.0,ANTIOQUIA NORTE,master_sedes,2026-08-27T03:26:55Z
2025-10-14,56,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 58, 'is_active': True, 'name': 'Action Outlet'}",id,Outlet,activa,0,0,CO:56,740.0,Outlet,False,47,EVO,False,642.0,ANTIOQUIA CENTRO,master_sedes,2026-08-27T03:26:55Z
2025-10-14,83,ACTION_EXPERIENCE,SOPÓ,CO,"{'id': 20, 'is_active': True, 'name': 'Action CC Parque Sopo'}",id,Outlet Arauco Sopó,activa,0,0,CO:83,740.0,ParqueSopo,False,59,EVO,False,642.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2024-02-02,15,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 59, 'is_active': True, 'name': 'Action Oviedo'}",id,Oviedo,activa,0,0,CO:15,678.0,Oviedo,False,14,EVO,False,949.0,ANTIOQUIA SUR,master_sedes,2026-08-27T03:26:55Z
2025-11-10,57,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 1, 'is_active': True, 'name': 'Action 1433 Park'}",id,Park1433,activa,0,0,CO:57,682.57,Park,False,45,EVO,False,710.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2026-03-30,78,ACTION_EXPERIENCE,PEREIRA,CO,"{'id': 19, 'is_active': True, 'name': 'Action CC Parque Arboleda'}",id,Parque Arboleda,activa,0,0,CO:78,840.0,ParqueArboleda,False,54,EVO,False,450.0,B/QUILLA - CALI - PEREIRA,master_sedes,2026-08-27T03:26:55Z
2026-03-16,80,ACTION_EXPERIENCE,BELLO,CO,"{'id': 21, 'is_active': True, 'name': 'Action CC Plaza Fabricato'}",id,Parque Fabricato,activa,0,0,CO:80,890.2,PlazaFabricato,False,56,EVO,False,450.0,ANTIOQUIA NORTE,master_sedes,2026-08-27T03:26:55Z
2025-04-04,30,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 60, 'is_active': True, 'name': 'Action Pepe Sierra'}",id,Pepe Sierra,activa,0,0,CO:30,830.0,PepeSierra,False,32,EVO,False,1102.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
2025-09-12,52,ACTION_EXPERIENCE,BARRANQUILLA,CO,"{'id': 61, 'is_active': True, 'name': 'Action Plaza Campestre'}",id,Plaza Campestre,activa,0,0,CO:52,670.0,PlazaCampestre,False,44,EVO,False,786.0,B/QUILLA - CALI - PEREIRA,master_sedes,2026-08-27T03:26:55Z
2024-12-16,22,ACTION_EXPERIENCE,RIONEGRO,CO,"{'id': 63, 'is_active': True, 'name': 'Action Plaza Rio Grande'}",id,Plaza Rio Grande,activa,0,0,CO:22,579.0,PlazaRioGrande,False,23,EVO,False,871.0,ANTIOQUIA CENTRO,master_sedes,2026-08-27T03:26:55Z
